rang,domaine,tier,categorie,acquisition,cout_an1,score,statut_21_08_2026,notes
1,chyten.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,192.8,lot réel vérifié 21/08/2026,age 27 ans; TF 26/CF 16; RD 82; BL 283; SV 20/mois; est. GoDaddy 1923 $; ATTENTION: ex-marque tutorat — vérifier dissolution
2,ucisl.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,16 $,192.4,lot réel vérifié 21/08/2026,age 16 ans; TF 35/CF 33; RD 144; BL 621; SV 70/mois; est. GoDaddy 1969 $
3,kwhw.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,150 $,187.9,lot réel vérifié 21/08/2026,age 29 ans; TF 25/CF 18; RD 87; BL 642; SV 20/mois; est. GoDaddy 3454 $
4,taftp.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,187.6,lot réel vérifié 21/08/2026,age 28 ans; TF 22/CF 26; RD 163; BL 1006; SV 20/mois; est. GoDaddy 1378 $
5,odspec.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,184.2,lot réel vérifié 21/08/2026,age 25 ans; TF 18/CF 12; RD 24; BL 330; SV 480/mois; est. GoDaddy 1931 $
6,syvva.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,11 $,182.5,lot réel vérifié 21/08/2026,age 25 ans; TF 24/CF 16; RD 156; BL 988; SV 0/mois; est. GoDaddy 1388 $
7,bandito.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,710 $,178.6,lot réel vérifié 21/08/2026,age 30 ans; TF 23/CF 10; RD 2170; BL 7227; SV 12100/mois; est. GoDaddy 9849 $
8,jacorp.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,174.0,lot réel vérifié 21/08/2026,age 27 ans; TF 2/CF 3; RD 203; BL 452; SV 2900/mois; est. GoDaddy 3798 $
9,kidneeds.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,170.3,lot réel vérifié 21/08/2026,age 27 ans; TF 25/CF 24; RD 162; BL 293; SV 20/mois; est. GoDaddy 1558 $
10,llnyc.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,167.3,lot réel vérifié 21/08/2026,age 20 ans; TF 9/CF 17; RD 320; BL 4437; SV 20/mois; est. GoDaddy 1533 $; ATTENTION: ex-magazine immo NYC défunt
11,arkahost.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,162.7,lot réel vérifié 21/08/2026,age 11 ans; TF 29/CF 29; RD 271; BL 114999; SV 40/mois; est. GoDaddy 2639 $; ATTENTION: profil de liens à auditer
12,elcantil.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,6 $,159.5,lot réel vérifié 21/08/2026,age 29 ans; TF 24/CF 17; RD 178; BL 232; SV 0/mois; est. GoDaddy 2082 $; ATTENTION: possible hôtel homonyme actif
13,rotoevil.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,158.7,lot réel vérifié 21/08/2026,age 19 ans; TF 21/CF 19; RD 174; BL 1193; SV 20/mois; est. GoDaddy 1400 $
14,jiyo.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1161 $,158.4,lot réel vérifié 21/08/2026,age 23 ans; TF 9/CF 18; RD 210; BL 380; SV 170/mois; est. GoDaddy 13946 $
15,pixihq.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,157.7,lot réel vérifié 21/08/2026,age 8 ans; TF 23/CF 21; RD 145; BL 4171; SV 0/mois; est. GoDaddy 1711 $
16,franktitude.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,157.4,lot réel vérifié 21/08/2026,age 21 ans; TF 21/CF 13; RD 226; BL 40832; SV 20/mois; est. GoDaddy 616 $
17,hairparts.com,T1,Enchères/expirés GoDaddy,Enchère ou BuyNow GoDaddy Auctions,1 $,157.3,lot réel vérifié 21/08/2026,age 26 ans; TF 19/CF 12; RD 21; BL 46; SV 10/mois; est. GoDaddy 1919 $
