domain,score,domain_pop,backlinks,wikipedia_links,archive_first_year,archive_captures,other_tlds_registered,majestic_rank,whois_created,length,sources
batoll.com,79.6,42,398,7,2002,208,0,0,2025,6,wiki
apapc.com,77.0,13,205,4,2004,134,2,0,2025,5,"wiki,tldreg"
lzangel.com,74.7,19,153,3,2003,119,0,0,2024,7,wiki
coldaston.com,74.3,12,33,5,2002,64,3,0,2025,9,"wiki,tldreg"
floydmiles.com,74.2,15,105,4,2000,153,0,0,2000,10,wiki
myanmarteldir.com,73.4,16,763,3,2002,164,0,0,2025,13,wiki
indviews.com,72.9,15,460,14,2007,69,1,0,2022,8,wiki
oklastamped.com,71.9,18,62,4,2000,173,0,0,2012,11,wiki
dnmsport.com,71.8,12,143,6,2004,54,0,0,2025,8,wiki
naltqi.com,71.4,70,3696,9,2008,1231,0,0,2025,6,"core2,wiki,short,tf"
mchahockey.com,71.4,12,42,4,2001,196,0,0,2025,10,wiki
felsefevan.com,70.2,20,99,6,2007,101,2,0,2025,10,"wiki,tldreg"
joaoisme.com,70.2,13,185,4,2007,168,0,0,2025,8,wiki
subbcentral.com,69.9,15,44,3,2001,190,0,0,2022,11,wiki
hupelita.com,69.8,14,71,18,2007,456,0,0,2024,8,wiki
topgunmma.com,69.2,27,768,9,2008,82,0,0,2025,9,wiki
bobsterner.com,69.0,12,192,3,2004,43,0,0,2024,10,wiki
coolfotodudes.com,68.8,15,287,5,2005,266,0,0,2025,13,wiki
abseditions.com,68.5,15,53,5,2004,155,1,0,2025,11,wiki
zonetroopers.com,68.5,13,184,12,2003,56,0,0,2025,12,wiki
borjaoubina.com,68.4,34,241,3,2006,122,0,0,2022,11,wiki
yvoncousin.com,68.2,18,76,3,2005,105,0,0,2023,10,wiki
wakingashland.com,67.5,15,66,3,2004,240,0,0,2025,13,wiki
liberapedia.com,67.1,48,241,6,2007,47,0,0,2011,11,wiki
abvizyon.com,67.1,35,306,2,2006,159,0,0,2023,8,wiki
kirannagarkar.com,66.4,18,39,9,2004,118,0,0,2023,13,wiki
hyunmun.com,66.3,95,16175,0,2002,207,0,0,2025,7,"core1,short"
academyofshem.com,66.3,21,158,4,2006,82,0,0,2024,13,wiki
atrakair.com,66.2,18,2367,5,2013,179,1,0,2025,8,wiki
tcwwrestling.com,65.6,12,0,3,2000,96,1,0,2025,12,wiki
molidorf.com,65.5,19,173,6,2009,66,1,0,2025,8,wiki
perfscipress.com,65.1,31,3551,12,2009,110,0,0,2023,12,wiki
karabadan.com,64.9,17,48,2,2001,120,0,0,2023,9,wiki
wasatchwoman.com,64.9,12,76,4,2006,203,0,0,2005,12,wiki
salmanmania.com,64.8,11,244,3,2007,100,0,0,2025,11,wiki
cegkereso.com,64.6,13,56511,0,2004,303,3,0,2025,9,tldreg
evsthailand.com,64.5,12,75,2,2000,207,0,0,2024,11,wiki
aronatic.com,64.4,15,139,2,2006,225,0,0,2025,8,wiki
annhelenmoen.com,64.4,14,155,7,2007,89,0,0,2025,12,wiki
buyflomax.com,64.1,292,1950,0,2004,47,3,0,2025,9,"core1,tldreg"
nauanaua.com,64.1,91,2854,0,2001,135,0,0,2025,8,"core1,short,tf"
tibetansoul.com,63.9,28,62,3,2008,154,0,0,2025,11,wiki
citipals.com,63.9,12,350,2,2007,138,0,0,2025,8,wiki
ksiso.com,63.8,30,13978,0,2004,67,2,0,2025,5,tldreg
suzerandall.com,63.7,13,59,1,1996,248,1,0,2024,11,wiki
hfdinfo.com,63.5,14,414,2,2008,155,0,0,2020,7,wiki
targetgoa.com,63.3,66,222,22,2008,125,1,0,2024,9,"core2,wiki,tf"
greaterdesaru.com,63.3,20,441,2,2004,107,0,0,2025,13,wiki
rromanes.com,63.2,11,56,2,2007,42,2,0,2025,8,tldreg
otlukbelican.com,63.1,43,3983,4,2011,54,0,0,2010,12,wiki
edgorman.com,62.7,29,709,0,2001,99,2,0,2025,8,tldreg
babygebaren.com,62.5,33,222,1,2005,114,4,0,2025,11,"wiki,tldreg"
nbaweblog.com,62.5,14,44,2,2003,171,0,0,2023,9,wiki
sicanvas.com,62.2,15,45,1,2001,110,1,0,2024,8,wiki
voyagemahia.com,62.0,15,49,3,2008,121,0,0,2025,11,wiki
kenmzoka.com,61.9,13,59,1,2000,135,0,0,2025,8,wiki
ssmtour.com,61.5,95,14110,0,2005,56,0,0,2023,7,"core1,short"
votecorroon.com,61.3,16,186,2,2004,88,0,0,2025,11,wiki
hnkcnews.com,61.1,21,224,41,2013,197,0,0,2025,8,wiki
urbadriver.com,60.9,155,441,0,2000,220,0,0,2025,10,"core1,tf"
idaphne.com,60.9,11,1305,0,2002,135,2,0,2021,7,tldreg
chelseavn.com,60.8,12,59,2,2005,240,0,0,2025,9,wiki
vsgao.com,60.4,14,207,6,2011,30,0,0,2025,5,wiki
profsms.com,60.4,18,1917,0,2004,147,2,0,2022,7,tldreg
aljazeraclub.com,60.3,62,321,7,2008,167,0,0,2025,12,"core2,wiki"
indialocals.com,59.5,66,168,4,2008,183,0,0,2025,11,"core2,wiki,tf"
snptri.com,59.5,15,94,5,2011,36,0,0,2025,6,wiki
kckoi.com,59.4,100,859,0,2003,59,0,0,2025,5,"core1,short,tf"
bookpuglia.com,59.4,18,46,1,2000,174,0,0,2024,10,wiki
suezenergyint.com,59.3,21,76,2,2005,82,0,0,2025,13,wiki
viccilaine.com,59.3,15,73,4,2009,99,0,0,2021,10,wiki
sitedaescola.com,59.1,99,2332,2,2008,135,1,0,2024,12,"core1,wiki,tf"
dianliwenmi.com,58.9,36,162,4,2010,65,0,0,2024,11,wiki
mikeyx.com,58.9,12,74,1,2005,223,1,0,2025,6,wiki
oudlajan.com,58.8,12,41,4,2011,104,0,0,2023,8,wiki
pramarn.com,58.7,281,205,0,2004,91,0,0,2025,7,"core1,short,tf"
thekassemg.com,58.7,12,34,3,2009,299,0,0,2025,10,wiki
thewayoutinn.com,58.6,121,3289,0,2002,101,0,0,2025,12,"core1,tf"
monayah.com,58.4,165,150,0,2004,58,1,0,2025,7,"core1,short"
czakra.com,58.4,32,40,0,2004,81,4,0,2025,6,tldreg
janaojana.com,58.3,60,89811,2,2010,224,0,0,2025,9,wiki
lakiff.com,58.3,12,40,1,2004,113,1,0,2025,6,wiki
