domain,rank,verdict,score,link_shape,homepage_refdomain_share,majestic_trustflow,majestic_citationflow,trust_ratio_tf_cf,referring_domains,referring_ips,referring_subnets,backlinks,refdomains_live,refdomains_homepage,refdomains_edu,refdomains_gov,wikipedia_live_article_citations,dmoz_listed,archive_first_year,archive_captures,other_tlds_registered,trademark_risk,justification,angle,wikipedia_articles
carldevogt.org,1,REJET,359.9,ok,0.0,29,12,2.42,29,20,19,64,28,0,0,0,5,False,2002,127,0,"medium-low as trademark, HIGH as personal-name/ethics exposure. No mark exists; German post-mortem personality rights lose their commercial (vermögensrechtlich) component ~10 years after death (Marlene-Dietrich line of BGH cases), so 1970 + 10 puts pure trademark/publicity risk near zero. The real exposure is different and worse: (1) the domain IS a real named individual, with living descendants plausible via son Karl Franz (d.1999); (2) whoever registers it inherits the MAIL for joanm@carldevogt.org, a private researcher's live correspondence address published on the site for two decades -- registering it means intercepting a named person's mail, which is not a risk you manage, it is a line you do not cross; (3) any commercial page under a dead actor's name reads as impersonation to every editor who sees it.","The wiki equity is real and I verified all five citations myself, but it is non-transferable: what those articles cite is one woman's original archival research (birth records, NSDAP membership number, per-film synopses) that a buyer cannot lawfully or honestly reproduce, and three of the five links already point readers at the Wayback copy instead of the live site. Add that the domain is a deceased person's name and carries a private individual's still-published email address, and the only ways to monetise it are ways that would get the links stripped and would be wrong on their own terms. Commercially it is a 29-refdomain hobby site with homepageRD=0 -- there is no traffic business here even setting ethics aside.","Not a buy. The honest move is custodial, not commercial: the content survives in the Internet Archive and Common Crawl, so the right outcome is to flag the drop to the people who care -- Olaf Brill (filmhistoriker.de, named collaborator), the Deutsche Kinemathek / Filmmuseum Berlin, or the en-wiki silent-film WikiProject -- so a heritage party can re-register it and re-point the archive. If Joan R. McDonald or her family can be reached, tell them it dropped. For the acquisition study: score it zero and move on.",de:Cläre Lotto; en:Carl de Vogt; en:Der Herr der Liebe; es:Der Herr der Liebe; es:Halbblut
afacliban.org,2,REJET,306.3,ok,0.0,31,10,3.1,24,23,21,63,24,0,0,0,3,True,2011,53,0,"medium-high. ""AFAC"" + ""Liban"" is the identity of a named association that still exists in its French parent form (AFAC, association loi 1901, active since 1929, afac.asso.fr). Any site there that is not the association passes itself off as it -- that is exactly the conduct Wikipedia already tagged as usurpation -- and the parent AFAC or Lebanese ORT/heritage parties would have a straightforward complaint. There is no generic-word defence: the string is an acronym+country, meaningless except as the organisation's name.","The single strongest asset on paper -- multi-language Wikipedia citations -- has already been formally cancelled: GreenC bot tagged the en citation {{usurped}} per WP:USURPURL on 2025-05-04, the es citations already resolve to the archive, and the domain now carries a Thai slots site in the live search index. So a buyer would be paying for links that Wikipedia's own maintenance bots have flagged as untrustworthy, on a name that only means ""the Lebanese section of the AFAC"", with a gambling reuse already in its history. Even ignoring all that, the only rebuild that could honestly hold those citations is the association's own institutional content, which a buyer cannot author.","None commercially. The honest recommendation is exactly ""tell the original owner it dropped"": write to AFAC in France (afac.asso.fr, which no longer lists the section) and to Lebanese rail-heritage parties -- the Office des Chemins de Fer et des Transports en Commun and the Train/Train heritage campaigners -- so a legitimate party can recover the name before the Thai slots operator or another catcher takes it again; note that info@afacliban.org was the association's published mailbox, so whoever holds the domain receives its mail. For the acquisition study: score zero.",en:Rail transport in Lebanon; es:Ferrocarril en Líbano; fr:Transport ferroviaire au Liban
penrhiwceiber.org,3,REJET,292.3,ok,0.033,26,13,2.0,30,25,21,108,28,1,3,0,2,False,2008,50,2,"high — no registered mark exists (""Penrhiwceiber"" is a Welsh place name, unregistrable as such), so the exposure is institutional-name rather than trademark: the domain's entire surviving identity, as recorded in Wikipedia itself, is a functioning Church in Wales benefice with named serving clergy. Anything published there that is not the parish passes itself off as a live church to villagers, to parishioners and to Wikipedia readers.","The owner is alive and identifiable — the Church in Wales lists St Winifred Penrhiwceiber under the Cynon Valley South Ministry Area with two serving priests and their diocesan email addresses — and the domain lapsed only recently (last capture 2025-06-09), so this is a forgotten renewal, not a dead institution. The two Wikipedia links are the whole asset and neither survives honest reuse: one is a bot-titled bare-URL ref, the other a {{cite web}} whose own website= field reads ""Welcome to the Parish of Penrhiwceiber, Matthewstown & Ynysboeth"". Strip those and what remains is 30 refdomains, one homepage refdomain and three unverifiable .edu links — nothing transferable.","none as an acquisition. The honest answer here is that the former organisation should be told it dropped: email Rev Matthew Gibbon (matthewgibbon@cinw.org.uk, Cynon Valley South Ministry Area) or Rev Philip Leyshon (PhilipLeyshon@cinw.org.uk) that penrhiwceiber.org has lapsed and is now registrable by anyone — a ~£10/yr defensive renewal for them protects a church address that Wikipedia still points at. Separately, the two en-wiki citations should be swapped for Wayback archive links regardless of who ends up holding the name.",en:Penrhiwceiber; en:Ynysboeth
ejme.org,4,REJET,264.3,ok,0.816,27,21,1.29,190,144,134,1502,89,155,0,0,0,False,2010,31377,9,"high, though not by ordinary trademark. ""EJME"" is a contested acronym - the European Job Market for Economists (European Economic Association) and the European Journal of Microwave Energy (Cardiff University Press) both use it - so no single party owns the string. The real exposure is scholarly: ejme.org is the address printed in published articles and reference lists for an ISSN-registered journal, and acquiring a lapsed journal domain is the precise mechanism of ""hijacked journal"" fraud, where a bought domain impersonates an indexed title to sell publication slots. Any commercial reuse of this name lands on that line whatever the intent.","The headline metrics - 190 refdomains, 1502 backlinks, 31k captures - are artefacts of abuse, not authority: 82% of refdomains hit only the homepage, more than half are already dead, TF/CF is 1.29, there is not one .edu or .gov link behind a medical journal, and the topical trust is 99% religion-plus-writing categories that no medical-education journal generates. Against that, urlscan gives four months of 2025 as an active gambling doorway under BRO11 and then TKPSPIN with /?content=slot and /?content=casino paths. A burned domain carrying an ISSN-registered journal's identity is the worst combination in this batch.","None, and it should not be bought at any price. The one useful output is a warning: the Egyptian Association of Medical Education (via facebook.com/EgyMedEdu) and the ISSN registry should be told that the registered URL for ISSN 2090-2816 is now unregistered and has already demonstrated its attractiveness to gambling operators - it is a prime hijacked-journal target.",
pketa.org,5,REJET,259.3,ok,0.0,29,7,4.14,28,24,23,39,18,0,2,0,0,True,2003,265,0,"high — « PKETA » est l'acronyme distinctif d'une société savante active depuis 1989, éditrice d'une revue à ISSN indexée KCI. Des annuaires ELT internationaux renvoient encore vers pketa.org : toute réutilisation capterait un trafic d'enseignants et de chercheurs cherchant la revue, ce qui est trompeur par construction et constitue un dossier UDRP solide pour l'association (droits de common law + usage continu 1989→2026).","Le domaine appartient identitairement à une organisation académique vivante — vérifié : revue au vol. 38, portail JAMS actif, partenariat KOTESOL courant — et des annuaires ELT publient encore « www.pketa.org » comme son site officiel, donc n'importe quel contenu tiers y serait lu comme émanant de la société. Côté valeur brute il n'y a de toute façon rien : 39 backlinks totaux, 28 refdomains dont 18 vivants, homepageRD=0 ; le TF=29 provient d'une poignée de liens .edu/annuaires, pas d'une audience.","la réponse honnête est que PKETA doit être prévenue que pketa.org est tombé — même après migration vers JAMS, laisser leur ancien domaine officiel à un tiers est un risque de réputation pour elles (et les annuaires ELT à corriger). Aucun play commercial : ni mot-clé, ni volume, ni acheteur autre que l'association.",
ijtindia.org,6,REJET,256.1,deep-link-spam,0.017,32,14,2.29,60,47,43,189,48,1,0,0,0,True,2002,1731,1,"high - it is the name of a public university institute, and the audience is prospective students, alumni and jute-industry bodies. Reusing it commercially would be institutional impersonation of an Indian state university, with UGC/university legal channels available to them.","Two independent reasons, either sufficient. First, it is no longer buyable: I checked RDAP directly and ijtindia.org was re-registered on 2026-08-22 at 18:09:29 UTC through NameCheap (status ""add period"", nameservers dns1/dns2.registrar-servers.com, A record 192.64.119.238) - eight minutes after this batch file was generated, so the pre-verified ""UNREGISTERED"" is stale for this one domain. Second, even if it were free, it is a live public-university identity with a pre-existing parking/redirect footprint, zero .edu/.gov links behind its TF 32, and a link graph that is entirely jute-trade directories.","None - it is gone. The only residual action worth taking is telling the Department of Jute and Fibre Technology at the University of Calcutta that their legacy domain has just been taken by a third party, since it is still the address printed across the jute-trade directories that make up its whole backlink profile.",
azworks.org,7,REJET,254.7,deep-link-spam,0.019,32,16,2.0,53,53,51,1456,52,1,0,0,0,False,2001,177,15,"medium — « AZ Works / AZworks » est utilisé par plusieurs entités actives (studio de jeu japonais, société japonaise de mannequins, programme public azarts.gov, az-works.org) ; pas de marque unique dominante, mais un usage commercial du nom entrerait en collision avec au moins l'une d'elles.","Réutilisation casino thaïlandaise (YES8TH/บาคาร่า) vérifiée sur l'URL racine : historique toxique, exactement ce que les filtres anti-spam pénalisent. Les métriques sont un mirage — 1 456 backlinks sur 53 domaines avec homepageRD=1 est la signature d'un footer sitewide, pas d'une notoriété, et il n'existe aucune citation Wikipédia. Rien à acheter, et le nom est de surcroît revendiqué par plusieurs « AZworks » actifs.",none.,
coasevt.org,8,REJET,251.2,small-clean,0.224,26,12,2.17,49,29,27,1337,44,11,0,1,0,True,2001,219,0,"high — the exact corporate name behind the acronym is live and in force, and the organisation holds a federal Older Americans Act designation, which is a protected institutional role, not just a brand. The decisive factor is the audience: any content on coasevt.org lands in front of people 60+ and their caregivers who followed a directory row for their Area Agency on Aging — the single most targeted demographic for benefits, Medicare and insurance fraud. Reuse would not merely be confusing, it would be a ready-made elder-scam channel.","The organisation is alive, still legally named ""Council on Aging for Southeastern Vermont, Inc."", and reachable at seniorsolutionsvt.org — so the domain has a rightful claimant, not a vacancy. There is zero Wikipedia equity, and the link profile that produced TF=26 is stale eldercare-directory rows (freelegalaid.com still points at www.coasevt.org) whose only function is to route vulnerable callers; the .gov link that made this candidate interesting turns out to be the kind brattleboro.gov has already corrected. Majestic's Arts-dominant topic mix confirms there is no coherent subject authority to inherit.","none as an acquisition — the honest answer is that the former organisation should be told it dropped. Notify Senior Solutions (info@seniorsolutionsvt.org, 802-885-2655) that coasevt.org has lapsed and is registrable by anyone; a defensive registration plus a redirect to seniorsolutionsvt.org costs them ~$12/yr and closes an elder-fraud vector, and they should ask the remaining directories (FreeLegalAid and peers) to update the URL. No third-party resale value: the acronym is meaningless outside this one Vermont nonprofit.",
ezzell.org,9,MOYEN,250.0,ok,0.333,26,19,1.37,54,47,45,292,50,18,1,0,0,False,1998,143,6,"low — patronyme courant, aucune marque active identifiée ; Ezzell ISD possède déjà son propre domaine (ezzellisd.org).","C'est le seul domaine du batch avec une empreinte de liens crédible et non gonflée (5,4 BL/RD, 45 subnets, 18 RD vers la home, 1 .edu) et zéro trace de spam sur 28 ans — mais 54 refdomains et TF=26 restent modestes, et l'identité du site est irrécupérable (contenu Wayback inaccessible ici, aucune trace vivante), donc impossible de reconstruire la pertinence thématique qui porte ces liens. Il s'achète comme nom de famille court et âgé, pas comme actif SEO.","pickup au prix d'enregistrement comme .org patronymique de 6 lettres, âgé de 1998 : revente à une famille/entreprise « Ezzell » (le marché existe — ezzell.com est exploité en email-au-patronyme) ou base propre pour un petit projet. Ne pas payer une prime « backlinks ».",
swoba.org,10,REJET,248.9,ok,0.038,32,13,2.46,26,24,24,51,25,1,0,0,0,True,2006,168,5,"medium — ""SWOBA"" is an unregistered acronym, the club is a small volunteer non-profit unlikely to hold a mark, and the .com is in unrelated domainer hands, so the string is not exclusively theirs. But inside the Ohio/Indiana/Kentucky beekeeping community the acronym denotes exactly one live association, and national trade directories still point readers at this exact URL, so anyone rebuilding on it inherits SWOBA's identity whether they want it or not.","The link profile is real and topical — American Bee Journal and a county association still link www.swoba.org today — but that is the reason to walk away, not to buy: those rows exist solely to route beekeepers to a club that is alive and meeting through September 2026 from swohiobeekeepers.com. The equity cannot be separated from SWOBA's identity, so any non-beekeeping rebuild wastes it and any beekeeping rebuild impersonates them. Strip the borrowed identity and what is left is 51 backlinks, 26 refdomains, one homepage refdomain and no Wikipedia — and swoba.com sitting unsold on a NamePros parking page is the market's own verdict on the five-letter string.","none as an acquisition — the honest answer is that the former organisation should be told it dropped, and here that advice has measurable value to them. SWOBA is currently losing every visitor who follows the American Bee Journal or Montgomery County Beekeepers listings, because swoba.org now returns NXDOMAIN; a ~$10 re-registration plus a 301 to swohiobeekeepers.com recovers that traffic and forecloses a name that beekeepers still trust. Reach them via swohiobeekeepers.com or the SWOBA Facebook group, and suggest they also ask both directories to update the URL. BATCH NOTE (final_gap_02): all three .org candidates resolve to the same pattern — a still-operating organisation that let a long-held domain lapse very recently (last Wayback captures 2025-06-09, 2025-05-12 and 2025-10-06 respectively). None shows any spam, PBN, gambling or parking reuse. In every case the accumulated authority is inseparable from the organisation's live identity, so none is honestly rebuildable and all three are REJET; the transferable value in this batch is the notification itself, not the names.",
