rank,domain,score,majestic_trustflow,majestic_citationflow,trust_ratio_tf_cf,referring_domains,referring_ips,referring_subnets,backlinks,refdomains_live,refdomains_homepage,refdomains_edu,refdomains_gov,wikipedia_live_article_citations,majestic_claimed_wiki_links,dmoz_listed,archive_first_year,archive_captures,other_tlds_registered,majestic_topics,wikipedia_articles
1,summerset.ai,242.1,28,12,2.33,23,20,19,34,23,4,0,0,0,0,True,1999,152,35,Business/Transportation and Logistics (97.50%)|News/Media Industry (2.33%)|Recreation/Travel (0.03%),
2,springsapps.ai,203.0,20,16,1.25,518,394,310,1976,497,2,0,1,0,0,False,2023,32,1,Arts/Literature (82.82%)|Computers/Internet/Proxying and Filtering (10.15%)|Business/Business Services (3.16%),
3,pixfun.ai,194.6,20,19,1.05,211,186,174,2724,182,16,0,0,0,0,False,2024,31,18,Society/Ethnicity (98.51%)|Arts/Radio (1.17%)|Computers/Internet/On the Web (0.12%),
4,twoslash.ai,193.6,23,17,1.35,139,117,106,5187,134,3,0,0,0,0,False,2023,55,5,Computers/Software/Shareware (99.12%)|Computers/Software/Operating Systems (0.81%),
5,knibble.ai,193.5,20,18,1.11,176,142,130,1534,166,2,0,0,0,0,False,2023,30,8,Computers/Mobile Computing (99.70%)|News (0.17%)|Computers/Systems (0.07%),
6,intellimorph.ai,192.9,24,27,0.89,74,52,47,128,74,36,0,0,0,0,False,2018,53,3,Computers/Software/Workflow (97.21%)|Computers/Programming/Software Testing (2.57%)|Business/E-Commerce (0.11%),
7,readweb.ai,187.0,18,14,1.29,84,73,66,313,80,2,0,0,0,0,False,2024,45,14,Games/Video Games/Developers and Publishers (99.14%)|Reference/Education (0.85%),
8,taolie.ai,186.3,25,15,1.67,38,34,33,67,37,3,0,0,0,0,False,2024,48,5,Recreation/Food (99.99%),
9,novelflow.ai,185.6,19,14,1.36,73,65,62,1054,72,0,0,0,0,0,False,2023,30,12,Computers/Software/Shareware (99.94%),
10,hailabs.ai,185.6,15,13,1.15,50,44,40,311,48,0,1,0,0,0,False,2021,32,6,Games/Video Games/Developers and Publishers (100.00%),
