rank,domain,score,majestic_trustflow,majestic_citationflow,trust_ratio_tf_cf,referring_domains,referring_ips,referring_subnets,backlinks,refdomains_live,refdomains_homepage,refdomains_edu,refdomains_gov,wikipedia_live_article_citations,majestic_claimed_wiki_links,dmoz_listed,archive_first_year,archive_captures,other_tlds_registered,majestic_topics,wikipedia_articles
1,sanmarcoinlamis.net,308.8,30,13,2.31,28,21,19,31,27,0,0,0,3,4,False,2001,128,4,World/Italiano (99.97%),de:San Marco in Lamis; it:Mingardo; nl:San Marco in Lamis
2,betours.net,245.2,29,7,4.14,18,14,14,19,17,0,0,0,0,0,True,2001,180,12,Recreation/Travel (100.00%),
3,ahida.net,244.2,28,14,2.0,29,27,26,60,28,3,1,0,0,0,False,2001,195,8,Business/Consumer Goods and Services (99.96%)|Regional/Asia (0.01%),
4,oficinista.net,243.0,27,11,2.45,24,21,19,43,23,2,0,0,1,1,False,2001,143,3,Society/People (99.64%)|Computers/Internet/On the Web (0.31%),es:Manuel Bartual
5,proinca.net,239.3,28,6,4.67,29,16,15,36,28,0,0,0,0,1,True,2003,150,9,Regional/Central America (100.00%),
6,datemachi.net,236.9,32,12,2.67,21,20,20,27,20,0,0,0,0,0,True,2001,178,1,Arts/Television (100.00%),
7,vaporessofrance.net,234.9,27,16,1.69,142,132,125,267,130,1,2,1,0,0,False,2024,17,2,Society/Religion and Spirituality (100.00%),
8,jamcast.net,234.3,28,9,3.11,18,15,14,22,17,0,0,0,0,0,True,1999,46,6,Business/Construction and Maintenance (100.00%),
9,mikewatson.net,233.0,28,6,4.67,18,16,15,24,16,0,0,0,0,0,True,2000,180,10,Arts/Music (100.00%),
10,librariesvictoria.net,231.9,31,10,3.1,28,21,21,46,21,0,1,0,0,0,False,2000,216,2,Reference/Libraries (99.98%),
11,kyyemr.net,230.2,28,16,1.75,182,83,73,271,165,0,0,0,0,0,False,2006,114,0,Health/Mental Health (87.65%)|Health/Conditions and Diseases (6.39%)|Reference/Maps (4.54%),
12,twojedziecko.net,230.2,29,12,2.42,23,20,20,32,22,0,0,0,0,0,True,2003,244,3,Shopping/Children (100.00%),
13,profitmed.net,230.0,27,16,1.69,50,46,43,234,49,4,0,0,0,0,False,2005,222,7,Computers/Consultants (98.64%)|Computers/Software/Databases (1.03%)|Business/Healthcare (0.27%),
14,bonvivantweb.net,229.7,31,13,2.38,32,27,25,33,29,0,0,0,0,0,True,2004,66,0,Regional/Asia (100.00%),
15,ecoitaly.net,227.7,28,7,4.0,22,19,16,38,15,0,0,0,0,5,True,2001,198,3,Business/Food and Related Products (99.97%)|Home/Gardening (0.01%),
16,stapana.net,227.7,29,10,2.9,18,16,16,49,17,1,0,0,0,0,True,2004,195,1,Science/Environment (100.00%),
17,greencardamerica.net,226.3,30,9,3.33,20,15,14,32,17,0,0,0,0,0,True,2003,181,2,Society/Law (100.00%),
18,hitechpi.net,225.9,29,10,2.9,19,17,17,23,18,0,0,0,0,0,True,2004,92,1,Society/Law (99.95%),
19,extendedstays.net,225.7,27,11,2.45,20,16,16,22,15,0,0,0,0,0,True,2002,240,9,Recreation/Travel (100.00%),
20,callalan.net,224.2,29,8,3.62,24,20,18,27,20,0,0,0,0,0,True,2003,58,2,Business/Real Estate (100.00%),
21,archihouse.net,223.8,30,11,2.73,22,18,18,28,22,0,0,0,0,0,True,2010,57,13,Business (100.00%),
22,musicfront.net,223.3,25,13,1.92,35,33,31,151,34,0,0,0,0,0,False,2000,263,4,Computers/Software/Desktop Customization (99.98%),
23,stylebruch.net,223.0,28,11,2.55,22,16,16,37,20,1,0,0,0,0,True,2001,166,1,Business (100.00%),
24,undong.net,222.6,23,15,1.53,75,75,70,3320,72,0,0,0,0,0,False,2002,56,4,Society/Relationships (99.94%)|Home/Family (0.03%),
25,thebossradio.net,222.6,30,10,3.0,29,22,21,45,26,0,0,0,0,0,True,2008,120,2,Arts/Radio (100.00%),
26,smartphony.net,221.9,24,16,1.5,40,39,39,830,39,5,0,0,0,1,False,2005,208,9,Regional/Europe (99.55%)|Computers/Internet/Searching (0.29%)|Business (0.10%),
27,skatelife.net,221.8,28,11,2.55,25,16,14,30,23,0,0,0,0,0,False,2003,76,17,Business/Consumer Goods and Services (100.00%),
